,Word,Count_Romeo,Count_Moby,Count_Gatsby,Count_Hamlet
0,romeo,280.0,0.0,0.0,0.0
1,thou,275.0,240.0,0.0,102.0
2,thy,170.0,110.0,0.0,86.0
3,juliet,169.0,0.0,0.0,0.0
4,o,148.0,0.0,0.0,110.0
5,capulet,133.0,0.0,0.0,0.0
6,nurse,133.0,0.0,0.0,0.0
7,thee,132.0,99.0,0.0,54.0
8,love,123.0,0.0,23.0,60.0
9,shall,110.0,85.0,0.0,114.0
10,lady,104.0,0.0,0.0,0.0
11,friar,94.0,0.0,0.0,0.0
12,mercutio,81.0,0.0,0.0,0.0
13,good,80.0,185.0,22.0,105.0
14,here,74.0,247.0,48.0,51.0
15,benvolio,74.0,0.0,0.0,0.0
16,i’ll,71.0,0.0,20.0,57.0
17,night,66.0,115.0,60.0,35.0
18,death,65.0,68.0,0.0,36.0
19,hath,64.0,0.0,0.0,64.0
20,lawrence,64.0,0.0,0.0,0.0
21,tybalt,63.0,0.0,0.0,0.0
22,art,55.0,0.0,0.0,17.0
23,paris,55.0,0.0,0.0,0.0
24,doth,47.0,0.0,0.0,27.0
25,day,45.0,145.0,39.0,19.0
26,tell,44.0,122.0,34.0,42.0
27,sir,43.0,79.0,0.0,59.0
28,dead,42.0,79.0,0.0,30.0
29,fair,41.0,0.0,0.0,20.0
30,’tis,40.0,0.0,0.0,73.0
31,montague,36.0,0.0,0.0,0.0
32,prince,33.0,0.0,0.0,0.0
33,sweet,32.0,0.0,0.0,25.0
34,wilt,29.0,0.0,0.0,0.0
35,heaven,29.0,0.0,0.0,37.0
36,gone,29.0,0.0,22.0,12.0
37,ay,28.0,0.0,0.0,37.0
38,back,28.0,136.0,105.0,0.0
39,mine,28.0,0.0,0.0,29.0
40,hast,28.0,0.0,0.0,16.0
41,lord,28.0,0.0,0.0,182.0
42,scene,27.0,0.0,0.0,44.0
43,old,27.0,432.0,77.0,20.0
44,word,26.0,0.0,21.0,0.0
45,being,26.0,210.0,0.0,12.0
46,comes,26.0,0.0,0.0,23.0
47,light,26.0,73.0,38.0,0.0
48,hence,26.0,0.0,0.0,0.0
49,god,26.0,103.0,0.0,28.0
50,house,25.0,0.0,84.0,0.0
51,stand,25.0,81.0,0.0,16.0
52,true,25.0,75.0,0.0,19.0
53,stay,25.0,0.0,0.0,0.0
54,heart,25.0,74.0,19.0,24.0
55,dear,25.0,0.0,0.0,28.0
56,eyes,24.0,143.0,85.0,20.0
57,find,24.0,0.0,0.0,17.0
58,peter,24.0,0.0,0.0,0.0
59,therefore,23.0,0.0,0.0,15.0
60,call,23.0,0.0,0.0,22.0
61,again,23.0,220.0,52.0,28.0
62,hand,23.0,182.0,62.0,19.0
63,name,23.0,0.0,35.0,0.0
64,both,22.0,117.0,0.0,26.0
65,made,22.0,169.0,63.0,29.0
66,till,22.0,117.0,0.0,20.0
67,bed,22.0,0.0,0.0,0.0
68,servant,22.0,0.0,0.0,0.0
69,young,22.0,75.0,43.0,16.0
70,life,22.0,122.0,25.0,30.0
71,part,21.0,144.0,0.0,26.0
72,sampson,21.0,0.0,0.0,0.0
73,away,21.0,159.0,64.0,25.0
74,men,21.0,194.0,40.0,0.0
75,ere,21.0,76.0,0.0,12.0
76,madam,21.0,0.0,0.0,0.0
77,bid,21.0,0.0,0.0,0.0
78,cannot,21.0,68.0,0.0,29.0
79,die,21.0,0.0,0.0,0.0
80,holy,21.0,0.0,0.0,0.0
81,been,20.0,406.0,105.0,28.0
82,nay,20.0,0.0,0.0,25.0
83,lie,20.0,0.0,0.0,0.0
84,before,20.0,281.0,82.0,23.0
85,nor,20.0,151.0,0.0,37.0
86,father,20.0,0.0,0.0,45.0
87,think,20.0,110.0,62.0,45.0
88,watch,20.0,0.0,0.0,16.0
89,live,19.0,0.0,0.0,14.0
90,lies,19.0,0.0,0.0,0.0
91,marry,19.0,0.0,0.0,16.0
92,gregory,18.0,0.0,0.0,0.0
93,poor,18.0,103.0,0.0,20.0
94,never,18.0,195.0,60.0,26.0
95,eye,18.0,70.0,0.0,14.0
96,face,18.0,84.0,50.0,0.0
97,married,18.0,0.0,20.0,0.0
98,down,17.0,342.0,115.0,27.0
99,peace,17.0,0.0,0.0,0.0
100,hour,17.0,0.0,32.0,0.0
101,tears,17.0,0.0,0.0,0.0
102,farewell,17.0,0.0,0.0,16.0
103,earth,17.0,0.0,0.0,19.0
104,pray,17.0,0.0,0.0,29.0
105,wife,17.0,0.0,19.0,0.0
106,help,17.0,0.0,0.0,0.0
107,any,16.0,316.0,62.0,12.0
108,balthasar,16.0,0.0,0.0,0.0
109,keep,16.0,0.0,0.0,18.0
110,long,16.0,302.0,61.0,14.0
111,villain,16.0,0.0,0.0,0.0
112,son,16.0,0.0,0.0,19.0
113,other,16.0,382.0,63.0,13.0
114,romeo’s,16.0,0.0,0.0,0.0
115,county,16.0,0.0,0.0,0.0
116,lips,16.0,0.0,0.0,0.0
117,second,16.0,0.0,0.0,23.0
118,cell,16.0,0.0,0.0,0.0
119,blood,15.0,0.0,0.0,18.0
120,whose,15.0,83.0,0.0,31.0
121,hold,15.0,88.0,0.0,27.0
122,those,15.0,301.0,26.0,21.0
123,grave,15.0,0.0,0.0,0.0
124,sun,15.0,77.0,0.0,0.0
125,early,15.0,0.0,0.0,0.0
126,cousin,15.0,0.0,0.0,0.0
127,dost,15.0,0.0,0.0,14.0
128,world,15.0,129.0,24.0,25.0
129,ah,15.0,0.0,0.0,0.0
130,slain,15.0,0.0,0.0,0.0
131,fear,14.0,0.0,0.0,18.0
132,rest,14.0,0.0,0.0,15.0
133,many,14.0,160.0,0.0,18.0
134,still,14.0,302.0,28.0,19.0
135,poison,14.0,0.0,0.0,0.0
136,same,14.0,206.0,0.0,12.0
137,use,14.0,0.0,0.0,16.0
138,alone,14.0,0.0,21.0,0.0
139,musician,14.0,0.0,0.0,0.0
140,mantua,13.0,0.0,0.0,0.0
141,new,13.0,81.0,69.0,0.0
142,myself,13.0,0.0,0.0,0.0
143,lives,13.0,0.0,0.0,0.0
144,came,13.0,123.0,108.0,0.0
145,head,13.0,238.0,40.0,25.0
146,nothing,13.0,99.0,31.0,30.0
147,soon,13.0,126.0,0.0,0.0
148,without,13.0,148.0,27.0,20.0
149,thine,13.0,0.0,0.0,13.0
150,leave,13.0,0.0,0.0,26.0
151,child,13.0,0.0,0.0,0.0
152,none,13.0,0.0,0.0,0.0
153,faith,13.0,0.0,0.0,15.0
154,fall,13.0,0.0,0.0,0.0
155,run,13.0,0.0,0.0,0.0
156,woe,13.0,0.0,0.0,0.0
157,little,13.0,244.0,102.0,18.0
158,sin,13.0,0.0,0.0,0.0
159,joy,13.0,0.0,0.0,0.0
160,send,13.0,0.0,0.0,0.0
161,banished,13.0,0.0,0.0,0.0
162,thursday,13.0,0.0,0.0,0.0
163,makes,12.0,0.0,0.0,17.0
164,ever,12.0,182.0,27.0,13.0
165,turn,12.0,0.0,0.0,0.0
166,bear,12.0,0.0,0.0,14.0
167,talk,12.0,0.0,0.0,0.0
168,happy,12.0,0.0,0.0,0.0
169,gentle,12.0,0.0,0.0,0.0
170,sleep,12.0,0.0,0.0,0.0
171,she’s,12.0,0.0,0.0,0.0
172,get,12.0,92.0,71.0,0.0
173,capulet’s,12.0,0.0,0.0,0.0
174,best,12.0,0.0,0.0,0.0
175,soul,12.0,71.0,0.0,33.0
176,husband,12.0,0.0,0.0,0.0
177,daughter,12.0,0.0,0.0,14.0
178,shame,12.0,0.0,0.0,0.0
179,breath,12.0,0.0,0.0,0.0
180,tomorrow,12.0,0.0,0.0,0.0
181,lay,11.0,0.0,0.0,0.0
182,hands,11.0,110.0,37.0,0.0
183,forth,11.0,0.0,0.0,0.0
184,place,11.0,100.0,0.0,0.0
185,draw,11.0,0.0,0.0,0.0
186,better,11.0,0.0,0.0,14.0
187,hate,11.0,0.0,0.0,0.0
188,ho,11.0,0.0,0.0,13.0
189,shalt,11.0,0.0,0.0,0.0
190,beauty,11.0,0.0,0.0,0.0
191,love’s,11.0,0.0,0.0,0.0
192,he’s,11.0,80.0,20.0,0.0
193,else,11.0,0.0,0.0,14.0
194,o’er,11.0,0.0,0.0,14.0
195,within,11.0,68.0,0.0,13.0
196,though,11.0,355.0,33.0,24.0
197,ye,11.0,362.0,0.0,0.0
198,since,11.0,0.0,0.0,17.0
199,warrant,11.0,0.0,0.0,0.0
200,whale,0.0,782.0,0.0,0.0
201,into,0.0,514.0,168.0,32.0
202,over,0.0,394.0,133.0,0.0
203,ahab,0.0,372.0,0.0,0.0
204,its,0.0,368.0,39.0,0.0
205,only,0.0,363.0,51.0,0.0
206,ship,0.0,346.0,0.0,0.0
207,sea,0.0,313.0,0.0,0.0
208,about,0.0,296.0,140.0,18.0
209,great,0.0,287.0,25.0,26.0
210,has,0.0,283.0,0.0,14.0
211,seemed,0.0,280.0,39.0,0.0
212,captain,0.0,273.0,0.0,0.0
213,last,0.0,263.0,44.0,14.0
214,after,0.0,259.0,84.0,14.0
215,white,0.0,247.0,40.0,0.0
216,while,0.0,239.0,45.0,13.0
217,way,0.0,232.0,69.0,0.0
218,round,0.0,232.0,0.0,0.0
219,three,0.0,232.0,33.0,0.0
220,whales,0.0,228.0,0.0,0.0
221,sperm,0.0,220.0,0.0,0.0
222,every,0.0,219.0,27.0,0.0
223,through,0.0,218.0,66.0,0.0
224,boat,0.0,213.0,0.0,0.0
225,stubb,0.0,198.0,0.0,0.0
226,off,0.0,193.0,41.0,20.0
227,almost,0.0,191.0,20.0,0.0
228,queequeg,0.0,187.0,0.0,0.0
229,himself,0.0,184.0,28.0,20.0
230,might,0.0,177.0,26.0,31.0
231,chapter,0.0,169.0,0.0,0.0
232,side,0.0,164.0,26.0,0.0
233,among,0.0,163.0,21.0,0.0
234,far,0.0,156.0,0.0,0.0
235,sort,0.0,149.0,23.0,0.0
236,cried,0.0,148.0,31.0,0.0
237,seen,0.0,146.0,31.0,21.0
238,thought,0.0,144.0,46.0,0.0
239,starbuck,0.0,144.0,0.0,0.0
240,deck,0.0,141.0,0.0,0.0
241,once,0.0,140.0,35.0,18.0
242,whole,0.0,136.0,0.0,0.0
243,water,0.0,135.0,0.0,0.0
244,thus,0.0,129.0,0.0,37.0
245,each,0.0,127.0,33.0,0.0
246,right,0.0,124.0,38.0,0.0
247,boats,0.0,124.0,0.0,0.0
248,things,0.0,119.0,26.0,0.0
249,small,0.0,119.0,32.0,0.0
250,feet,0.0,118.0,23.0,0.0
251,crew,0.0,118.0,0.0,0.0
252,something,0.0,117.0,64.0,15.0
253,whale’s,0.0,117.0,0.0,0.0
254,between,0.0,115.0,24.0,15.0
255,pequod,0.0,115.0,0.0,0.0
256,towards,0.0,113.0,0.0,0.0
257,just,0.0,113.0,94.0,0.0
258,found,0.0,113.0,36.0,0.0
259,under,0.0,112.0,32.0,0.0
260,full,0.0,111.0,20.0,0.0
261,air,0.0,109.0,25.0,0.0
262,oh,0.0,108.0,0.0,0.0
263,along,0.0,107.0,30.0,0.0
264,times,0.0,107.0,0.0,0.0
265,another,0.0,106.0,36.0,19.0
266,line,0.0,106.0,0.0,0.0
267,don’t,0.0,105.0,73.0,0.0
268,called,0.0,104.0,29.0,0.0
269,whaling,0.0,100.0,0.0,0.0
270,body,0.0,97.0,0.0,15.0
271,high,0.0,96.0,0.0,0.0
272,sight,0.0,96.0,0.0,0.0
273,strange,0.0,96.0,0.0,0.0
274,heard,0.0,96.0,43.0,14.0
275,moment,0.0,96.0,69.0,0.0
276,saw,0.0,95.0,52.0,0.0
277,went,0.0,94.0,90.0,0.0
278,few,0.0,92.0,25.0,0.0
279,stood,0.0,88.0,28.0,0.0
280,end,0.0,88.0,0.0,17.0
281,because,0.0,87.0,44.0,0.0
282,certain,0.0,87.0,0.0,0.0
283,however,0.0,86.0,0.0,0.0
284,half,0.0,86.0,36.0,0.0
285,whether,0.0,85.0,0.0,0.0
286,voyage,0.0,85.0,0.0,0.0
287,perhaps,0.0,85.0,0.0,0.0
288,seems,0.0,85.0,0.0,0.0
289,also,0.0,85.0,0.0,0.0
290,him;,0.0,85.0,0.0,0.0
291,going,0.0,84.0,65.0,0.0
292,indeed,0.0,84.0,0.0,30.0
293,black,0.0,83.0,0.0,0.0
294,it’s,0.0,83.0,25.0,0.0
295,seem,0.0,83.0,0.0,0.0
296,sometimes,0.0,83.0,0.0,0.0
297,wild,0.0,82.0,0.0,0.0
298,standing,0.0,82.0,0.0,0.0
299,itself,0.0,81.0,18.0,23.0
300,fish,0.0,81.0,0.0,0.0
301,always,0.0,80.0,33.0,0.0
302,aye,0.0,80.0,0.0,0.0
303,flask,0.0,80.0,0.0,0.0
304,nantucket,0.0,79.0,0.0,0.0
305,present,0.0,79.0,0.0,0.0
306,matter,0.0,78.0,0.0,23.0
307,ship’s,0.0,77.0,0.0,0.0
308,years,0.0,76.0,30.0,0.0
309,known,0.0,76.0,0.0,0.0
310,moby,0.0,76.0,0.0,0.0
311,hard,0.0,75.0,0.0,0.0
312,leg,0.0,75.0,0.0,0.0
313,sailor,0.0,74.0,0.0,0.0
314,seas,0.0,74.0,0.0,0.0
315,beneath,0.0,74.0,0.0,0.0
316,days,0.0,73.0,0.0,0.0
317,arm,0.0,73.0,0.0,0.0
318,large,0.0,73.0,0.0,0.0
319,iron,0.0,73.0,0.0,0.0
320,ahab’s,0.0,73.0,0.0,0.0
321,sail,0.0,72.0,0.0,0.0
322,ships,0.0,72.0,0.0,0.0
323,mind,0.0,71.0,0.0,0.0
324,length,0.0,71.0,0.0,0.0
325,instant,0.0,70.0,0.0,0.0
326,often,0.0,70.0,0.0,0.0
327,oil,0.0,70.0,0.0,0.0
328,cabin,0.0,70.0,0.0,0.0
329,harpooneer,0.0,69.0,0.0,0.0
330,least,0.0,69.0,0.0,0.0
331,gatsby,0.0,0.0,171.0,0.0
332,tom,0.0,0.0,163.0,0.0
333,daisy,0.0,0.0,137.0,0.0
334,got,0.0,0.0,83.0,0.0
335,looked,0.0,0.0,82.0,0.0
336,didn’t,0.0,0.0,81.0,0.0
337,gatsby’s,0.0,0.0,67.0,0.0
338,around,0.0,0.0,67.0,0.0
339,door,0.0,0.0,65.0,0.0
340,turned,0.0,0.0,64.0,0.0
341,wilson,0.0,0.0,61.0,0.0
342,jordan,0.0,0.0,60.0,0.0
343,people,0.0,0.0,58.0,0.0
344,voice,0.0,0.0,57.0,12.0
345,want,0.0,0.0,55.0,0.0
346,car,0.0,0.0,54.0,0.0
347,knew,0.0,0.0,53.0,0.0
348,room,0.0,0.0,53.0,28.0
349,began,0.0,0.0,50.0,0.0
350,took,0.0,0.0,48.0,0.0
351,toward,0.0,0.0,47.0,0.0
352,told,0.0,0.0,44.0,0.0
353,asked,0.0,0.0,43.0,0.0
354,girl,0.0,0.0,42.0,0.0
355,until,0.0,0.0,41.0,0.0
356,suddenly,0.0,0.0,40.0,0.0
357,left,0.0,0.0,39.0,0.0
358,wasn’t,0.0,0.0,38.0,0.0
359,i’m,0.0,0.0,36.0,0.0
360,miss,0.0,0.0,36.0,0.0
361,looking,0.0,0.0,34.0,0.0
362,west,0.0,0.0,33.0,0.0
363,i’d,0.0,0.0,33.0,0.0
364,next,0.0,0.0,33.0,0.0
365,baker,0.0,0.0,32.0,0.0
366,sat,0.0,0.0,32.0,0.0
367,egg,0.0,0.0,31.0,0.0
368,front,0.0,0.0,30.0,0.0
369,afternoon,0.0,0.0,30.0,0.0
370,table,0.0,0.0,30.0,0.0
371,five,0.0,0.0,30.0,0.0
372,can’t,0.0,0.0,30.0,0.0
373,minute,0.0,0.0,29.0,0.0
374,sound,0.0,0.0,29.0,0.0
375,daisy’s,0.0,0.0,29.0,0.0
376,couldn’t,0.0,0.0,28.0,0.0
377,wanted,0.0,0.0,27.0,0.0
378,moved,0.0,0.0,27.0,0.0
379,gave,0.0,0.0,26.0,0.0
380,morning,0.0,0.0,26.0,0.0
381,across,0.0,0.0,26.0,0.0
382,inquired,0.0,0.0,26.0,0.0
383,rather,0.0,0.0,25.0,0.0
384,together,0.0,0.0,25.0,12.0
385,dark,0.0,0.0,25.0,0.0
386,garage,0.0,0.0,25.0,0.0
387,started,0.0,0.0,24.0,0.0
388,later,0.0,0.0,24.0,0.0
389,york,0.0,0.0,24.0,0.0
390,four,0.0,0.0,24.0,0.0
391,demanded,0.0,0.0,24.0,0.0
392,that’s,0.0,0.0,24.0,16.0
393,steps,0.0,0.0,24.0,0.0
394,felt,0.0,0.0,23.0,0.0
395,walked,0.0,0.0,23.0,0.0
396,anything,0.0,0.0,23.0,0.0
397,broke,0.0,0.0,23.0,0.0
398,“he,0.0,0.0,23.0,0.0
399,home,0.0,0.0,23.0,0.0
400,lawn,0.0,0.0,22.0,0.0
401,yellow,0.0,0.0,22.0,0.0
402,course,0.0,0.0,22.0,0.0
403,o’clock,0.0,0.0,22.0,0.0
404,east,0.0,0.0,21.0,0.0
405,garden,0.0,0.0,21.0,0.0
406,open,0.0,0.0,21.0,0.0
407,blue,0.0,0.0,21.0,0.0
408,beside,0.0,0.0,21.0,0.0
409,hadn’t,0.0,0.0,21.0,0.0
410,michaelis,0.0,0.0,21.0,0.0
411,windows,0.0,0.0,20.0,0.0
412,hot,0.0,0.0,20.0,0.0
413,met,0.0,0.0,20.0,0.0
414,drive,0.0,0.0,20.0,0.0
415,wouldn’t,0.0,0.0,20.0,0.0
416,girls,0.0,0.0,20.0,0.0
417,wolfshiem,0.0,0.0,20.0,0.0
418,city,0.0,0.0,19.0,0.0
419,stopped,0.0,0.0,19.0,0.0
420,rose,0.0,0.0,19.0,0.0
421,hair,0.0,0.0,19.0,0.0
422,tried,0.0,0.0,19.0,0.0
423,loved,0.0,0.0,19.0,0.0
424,everything,0.0,0.0,18.0,0.0
425,road,0.0,0.0,18.0,0.0
426,hamlet,0.0,0.0,0.0,446.0
427,king,0.0,0.0,0.0,184.0
428,horatio,0.0,0.0,0.0,150.0
429,queen,0.0,0.0,0.0,114.0
430,polonius,0.0,0.0,0.0,105.0
431,laertes,0.0,0.0,0.0,91.0
432,ophelia,0.0,0.0,0.0,80.0
433,rosencrantz,0.0,0.0,0.0,78.0
434,guildenstern,0.0,0.0,0.0,57.0
435,marcellus,0.0,0.0,0.0,46.0
436,clown,0.0,0.0,0.0,46.0
437,mother,0.0,0.0,0.0,39.0
438,osric,0.0,0.0,0.0,32.0
439,lord?,0.0,0.0,0.0,31.0
440,castle,0.0,0.0,0.0,30.0
441,barnardo,0.0,0.0,0.0,28.0
442,ghost,0.0,0.0,0.0,27.0
443,play,0.0,0.0,0.0,27.0
444,act,0.0,0.0,0.0,24.0
445,nature,0.0,0.0,0.0,24.0
446,denmark,0.0,0.0,0.0,22.0
447,i’,0.0,0.0,0.0,22.0
448,madness,0.0,0.0,0.0,21.0
449,friends,0.0,0.0,0.0,20.0
450,means,0.0,0.0,0.0,20.0
451,fortinbras,0.0,0.0,0.0,19.0
452,players,0.0,0.0,0.0,19.0
453,believe,0.0,0.0,0.0,19.0
454,done,0.0,0.0,0.0,19.0
455,follow,0.0,0.0,0.0,19.0
456,words,0.0,0.0,0.0,19.0
457,player,0.0,0.0,0.0,19.0
458,father’s,0.0,0.0,0.0,18.0
459,there’s,0.0,0.0,0.0,18.0
460,mad,0.0,0.0,0.0,18.0
461,reynaldo,0.0,0.0,0.0,17.0
462,thoughts,0.0,0.0,0.0,17.0
463,noble,0.0,0.0,0.0,17.0
464,ear,0.0,0.0,0.0,17.0
465,th’,0.0,0.0,0.0,17.0
466,cause,0.0,0.0,0.0,17.0
467,welcome,0.0,0.0,0.0,16.0
468,question,0.0,0.0,0.0,16.0
469,is’t,0.0,0.0,0.0,16.0
470,youth,0.0,0.0,0.0,16.0
471,sword,0.0,0.0,0.0,16.0
472,england,0.0,0.0,0.0,16.0
473,state,0.0,0.0,0.0,15.0
474,gentleman,0.0,0.0,0.0,15.0
475,majesty,0.0,0.0,0.0,15.0
476,drink,0.0,0.0,0.0,15.0
477,answer,0.0,0.0,0.0,14.0
478,yourself,0.0,0.0,0.0,14.0
479,mark,0.0,0.0,0.0,14.0
480,spirit,0.0,0.0,0.0,14.0
481,tongue,0.0,0.0,0.0,14.0
482,speech,0.0,0.0,0.0,14.0
483,haste,0.0,0.0,0.0,13.0
484,you?,0.0,0.0,0.0,13.0
485,form,0.0,0.0,0.0,13.0
486,goes,0.0,0.0,0.0,13.0
487,grace,0.0,0.0,0.0,13.0
488,grief,0.0,0.0,0.0,13.0
489,sense,0.0,0.0,0.0,13.0
490,we’ll,0.0,0.0,0.0,13.0
491,sent,0.0,0.0,0.0,13.0
492,ii,0.0,0.0,0.0,12.0
493,e’en,0.0,0.0,0.0,12.0
494,oft,0.0,0.0,0.0,12.0
495,ourselves,0.0,0.0,0.0,12.0
